Country Name,"Country Code","Series Name","Series Code","1998 [YR1998]","1999 [YR1999]","2000 [YR2000]","2001 [YR2001]","2002 [YR2002]","2003 [YR2003]","2004 [YR2004]","2005 [YR2005]","2006 [YR2006]","2007 [YR2007]","2008 [YR2008]","2009 [YR2009]","2010 [YR2010]","2011 [YR2011]","2012 [YR2012]","2013 [YR2013]","2014 [YR2014]","2015 [YR2015]","2016 [YR2016]","2017 [YR2017]","2018 [YR2018]","2019 [YR2019]","2020 [YR2020]","2021 [YR2021]","2022 [YR2022]"
Argentina,"ARG","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","6.64369900809839","9.16855867900237","8.98216214611374","6.92977592251926","5.74222654534108","11.7076235634893","8.81548392467654","5.73352882860582","8.43671446336399","3.14675402144614","2.72066590752662","4.58338057668963","3.82190872382986","3.06570705251234","2.54872999929378","2.91981561846096","3.30201681292554","3.06754860680855","4.75377031357321","6.44852082368156","8.49681034702298","10.1972553266744","7.83572008843803","5.42117857147451","5.47192379967967"
Australia,"AUS","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
Brazil,"BRA","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","6.07967369567091","11.7331895444056","9.2034609427643","9.24142917170136","10.563703096275","10.7953183605738","8.27758263384173","7.26513000844037","5.76401895162979","4.02277785239545","3.41801391997664","2.73151286409605","2.14338656781769","2.31745073016359","1.89456854696792","3.36336917384231","2.58269951458627","5.08089116634956","6.68499817556342","4.71293436267139","5.12584357910495","8.32868430615086","8.99901075377161","10.1361120189784","6.76665931832159"
China,"CHN","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","1.820877209919","2.46232604984238","2.22367176548088","1.8935666616569","2.13600300586647","2.2738256624626","1.19482701240096","1.21172086042359","1.00291081955815","0.896095119385478","0.721290268595919","0.783489954475419","0.859610918880835","0.839428131295027","0.848723027907926","0.813211773651031","0.777973466693653","1.15076657916033","1.50077197061373","1.67799262950131","1.7416563263337","1.93672227201723","1.88336622356336","1.90607221634974","2.40867023981984"
France,"FRA","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
Germany,"DEU","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
India,"IND","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","2.82088700527263","2.18097561513434","2.30193534412263","2.44583880286812","3.0194199680375","4.27098120431118","2.48637589412648","2.93712915146459","1.86526396401862","3.25206703587721","2.59909766161628","1.23889459625915","1.47271485113113","1.62038919563891","1.68674506538768","2.11299315601506","4.60624170266818","2.3885645853738","3.39347044179047","1.95306263787646","2.38022646268864","1.82517493462673","2.89742608489552","1.59672251961867","1.91286266274974"
Indonesia,"IDN","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","20.3327508344735","13.6694925278637","10.8366392316289","10.0593804593069","8.92370483523437","8.21576139415285","8.39818313057316","7.45800547561679","8.11397310999044","5.78161836236857","4.40447485551029","4.78159765859257","4.2951782698415","3.57889968180921","4.17510789962327","4.68283884849667","6.98301160713426","7.24189428638193","7.13975689445925","5.97963888432669","5.49862606675195","7.54817486309677","6.56337328945881","6.33766671740865","5.47445066639057"
Italy,"ITA","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
Japan,"JPN","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
"Korea, Rep.","KOR","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
Mexico,"MEX","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","5.40069006082519","5.75028759126384","8.14843790704868","6.0959808708182","4.74677374927241","4.27442722344276","4.88501956132958","4.03359943483377","5.43568176304786","3.50638561656816","3.54199491195208","3.53776457065155","2.90384320498588","3.42170742102943","5.66325458128016","3.05045334054898","3.52067192772964","4.42726109286764","7.24905436320342","5.64306976367766","4.79410791464355","5.45337329982002","6.6008693467725","6.18122905889478","3.46984454996894"
Netherlands,"NLD","Total debt service (% of GNI)","DT.TDS.DECT.GN.ZS","","","","","","","","","","","","","","","","","","","","","","","","",""
